Name,Age,Nationality,Overall,Club,ClubName,ClubTop20,WageK,PreferredFoot,Position
O. Rojas,36,Mexico,65,Lobos BUAP,Others,No,2,Right,Defence
A. Kruchi,20,Switzerland,51,FC St. Gallen,Others,No,2,Left,MidField
D. Schwizer,22,Switzerland,51,FC Thun,Others,No,2,Right,MidField
G. Tegue,18,Colombia,50,Independiente Medellín,Others,No,1,Left,Defence
N. Fuentes,18,Chile,47,Unión Española,Others,No,1,Right,Defence
R. Peiponen,21,Finland,63,HJK Helsinki,Others,No,1,Right,Defence
E. Mensah,20,Ghana,61,HJK Helsinki,Others,No,1,Left,Forward
M. Bunn,33,England,69,Aston Villa,Others,No,7,Right,GoalKeeper
N. Menp,33,Finland,69,Bristol City,Others,No,14,Right,GoalKeeper
P. McShane,32,Republic of Ireland,68,Reading,Others,No,12,Right,Defence
A. Baptiste,32,England,68,Queens Park Rangers,Others,No,4,Right,Defence
J. Moulin,32,France,68,AS Saint-Étienne,Others,No,9,Right,GoalKeeper
J. Wright,32,England,68,Sheffield United,Others,No,5,Left,Defence
D. Pudil,32,Czech Republic,68,Sheffield Wednesday,Others,No,10,Left,Defence
Traeira Lopes,26,Brazil,67,Vitória,Others,No,4,Left,GoalKeeper
L. Domínguez,28,Chile,67,CD Everton de Viña del Mar,Others,No,2,Left,Defence
S. Moore,28,England,67,Sheffield United,Others,No,4,Right,GoalKeeper
J. Gómez,27,Argentina,67,Unión Española,Others,No,2,Right,Defence
Rafael de Aseiro,26,Brazil,67,Sport Club do Recife,Others,No,4,Left,GoalKeeper
T. Rogne,28,Norway,67,Lech Pozna?,Others,No,4,Right,Defence
L. Cabrera,24,Chile,66,Audax Italiano,Others,No,1,Right,MidField
A. Deja,25,Poland,66,Arka Gdynia,Others,No,2,Right,MidField
Z. Kozulj,24,Bosnia Herzegovina,65,Pogo? Szczecin,Others,No,2,Right,MidField
M. Vázquez,25,Argentina,65,La Equidad,Others,No,1,Left,MidField
K. Osorio,24,Colombia,65,Patriotas Boyacá FC,Others,No,1,Right,MidField
A. Al Shammari,24,Saudi Arabia,64,Al Ittihad,Others,No,6,Left,Defence
E. Oelschlgel,22,Germany,64,Borussia Dortmund,13BorussiaDortmund,Yes,6,Right,GoalKeeper
R. González,23,Mexico,63,U.N.A.M.,Others,No,3,Right,Defence
C. Zamudio,20,Mexico,63,Monarcas Morelia,Others,No,2,Right,Forward
J. Morrell,21,Wales,62,Bristol City,Others,No,5,Right,MidField
D. Agyei,21,England,62,Burnley,Others,No,7,Left,Forward
M. Gueye,20,Senegal,62,AS Saint-Étienne,Others,No,4,Right,Forward
G. McEachran,17,England,59,Chelsea,06Chelsea,Yes,6,Left,MidField
A. Jung,26,Germany,67,Brøndby IF,Others,No,8,Left,Defence
D. McGowan,26,Australia,67,Gangwon FC,Others,No,2,Right,Defence
B. Halloran,26,Australia,66,Adelaide United,Others,No,2,Right,Forward
N. Brkroth,26,Sweden,66,Djurgårdens IF,Others,No,2,Right,Forward
Yun Il Lok,26,Korea Republic,66,Yokohama F. Marinos,Others,No,2,Right,MidField
C. Goodwin,26,Australia,66,Adelaide United,Others,No,2,Left,Forward
M. Ogbu,27,Nigeria,66,IK Sirius,Others,No,1,Right,Forward
T. Mohamad,28,Syria,66,Ohod Club,Others,No,6,Right,MidField
Y. Barnawi,24,Saudi Arabia,65,Al Qadisiyah,Others,No,4,Right,Defence
C. Ohene,24,Ghana,65,Ohod Club,Others,No,4,Right,MidField
G. Álvarez,26,Bolivia,64,Al Hazem,Others,No,3,Right,Forward
Mica Pinto,25,Portugal,66,Fortuna Sittard,Others,No,2,Left,Defence
T. van de Pavert,26,Netherlands,66,De Graafschap,Others,No,3,Left,Defence
